leftover,product,storage,t
-45.3493012199,POJ,S59,36.0
-54.9179267972,ROJ,S59,36.0
-40.6059446028,FCOJ,S59,36.0
-66.8180367587,ORA,S51,36.0
-111.824393123,POJ,S51,36.0
-68.2850633451,ROJ,S51,36.0
-164.725896675,FCOJ,S51,36.0
-47.0601047028,ORA,S35,37.0
47.6679780871,POJ,S35,37.0
-39.9796693442,ROJ,S35,37.0
-66.5443653806,FCOJ,S35,37.0
-47.5145623538,ORA,S73,37.0
-94.0903177689,POJ,S73,37.0
-46.1613161301,ROJ,S73,37.0
-13.9990042472,FCOJ,S73,37.0
-34.8603721801,ORA,S59,37.0
-43.0907831957,POJ,S59,37.0
-54.3533205495,ROJ,S59,37.0
-37.2676135108,FCOJ,S59,37.0
-64.8419006851,ORA,S51,37.0
-118.437894389,POJ,S51,37.0
-80.8622255558,ROJ,S51,37.0
-175.265513151,FCOJ,S51,37.0
-50.6921267772,ORA,S35,38.0
12.4609913554,POJ,S35,38.0
-34.952799392,ROJ,S35,38.0
-86.7951255241,FCOJ,S35,38.0
-47.9019123348,ORA,S73,38.0
21.4509789834,POJ,S73,38.0
-55.2765329978,ROJ,S73,38.0
36.1130612636,FCOJ,S73,38.0
-38.8115429116,ORA,S59,38.0
-45.7231645728,POJ,S59,38.0
-52.2157435376,ROJ,S59,38.0
-46.7940397303,FCOJ,S59,38.0
-95.3443104878,ORA,S51,38.0
-120.904387461,POJ,S51,38.0
-71.8093822469,ROJ,S51,38.0
-173.690060251,FCOJ,S51,38.0
-36.1857029194,ORA,S35,39.0
-26.3323355944,POJ,S35,39.0
-35.1729836532,ROJ,S35,39.0
-92.5888554733,FCOJ,S35,39.0
-39.4390824132,ORA,S73,39.0
-16.5364562062,POJ,S73,39.0
-41.7856572236,ROJ,S73,39.0
46.977247293,FCOJ,S73,39.0
-27.3963489805,ORA,S59,39.0
-132.727061184,POJ,S59,39.0
-56.3521098033,ROJ,S59,39.0
-98.2575145997,FCOJ,S59,39.0
-92.8136568383,ORA,S51,39.0
-123.441107054,POJ,S51,39.0
-76.490815097,ROJ,S51,39.0
-169.807864793,FCOJ,S51,39.0
-41.5815038083,ORA,S35,40.0
-31.761684641,POJ,S35,40.0
-38.3012476512,ROJ,S35,40.0
-88.6312227897,FCOJ,S35,40.0
-43.8067166248,ORA,S73,40.0
-35.8683831655,POJ,S73,40.0
-48.2575857236,ROJ,S73,40.0
25.6135041201,FCOJ,S73,40.0
-25.9161313551,ORA,S59,40.0
-0.359169372228,POJ,S59,40.0
-72.686939591,ROJ,S59,40.0
-18.6485951079,FCOJ,S59,40.0
-74.1461838591,ORA,S51,40.0
-311.377150117,POJ,S51,40.0
-75.5383463077,ROJ,S51,40.0
-233.892802912,FCOJ,S51,40.0
-46.5838487664,ORA,S35,41.0
-41.6232747577,POJ,S35,41.0
-39.1717857716,ROJ,S35,41.0
-84.4915485097,FCOJ,S35,41.0
-46.1441398076,ORA,S73,41.0
-33.0991153104,POJ,S73,41.0
-45.7192963849,ROJ,S73,41.0
26.1116484559,FCOJ,S73,41.0
-29.8862149255,ORA,S59,41.0
-44.5671503995,POJ,S59,41.0
-42.3018010526,ROJ,S59,41.0
-46.2434385547,FCOJ,S59,41.0
-386.683455737,ORA,S51,41.0
87.4790086135,POJ,S51,41.0
-86.6933146924,ROJ,S51,41.0
-57.6578999116,FCOJ,S51,41.0
-41.268616719,ORA,S35,42.0
-32.3834111556,POJ,S35,42.0
-39.8534281344,ROJ,S35,42.0
-72.4256598679,FCOJ,S35,42.0
-39.2545070055,ORA,S73,42.0
-39.0736385993,POJ,S73,42.0
-43.7803714638,ROJ,S73,42.0
14.5809500543,FCOJ,S73,42.0
-34.8264627354,ORA,S59,42.0
-45.5241394066,POJ,S59,42.0
-53.820065859,ROJ,S59,42.0
-36.4737176231,FCOJ,S59,42.0
-167.133907496,ORA,S51,42.0
-28.2973193546,POJ,S51,42.0
-60.6661765264,ROJ,S51,42.0
